"";"collocate";"animal"
"159";"mad_jj";"dog"
"6";"tom_np1";"cat"
"193";"barking_jj";"dog"
"160";"mad_jj";"dog"
"189";"mad_jj";"dog"
"4";"tom_np1";"cat"
"96";"guide_nn1";"dog"
"243";"dangerous_jj";"dog"
"173";"mad_jj";"dog"
"248";"dangerous_jj";"dog"
"246";"dangerous_jj";"dog"
"249";"dangerous_jj";"dog"
"197";"barking_jj";"dog"
"59";"playing_vvg";"cat"
"77";"guide_nn1";"dog"
"116";"guide_nn1";"dog"
"32";"siamese_jj";"cat"
"226";"lap_nn1";"dog"
"76";"guide_nn1";"dog"
"120";"guide_nn1";"dog"
"41";"tortoiseshell_nn1";"cat"
"58";"playing_vvg";"cat"
"127";"guide_nn1";"dog"
"180";"mad_jj";"dog"
"195";"barking_jj";"dog"
"21";"siamese_jj";"cat"
"158";"mad_jj";"dog"
"115";"guide_nn1";"dog"
"42";"tortoiseshell_nn1";"cat"
"125";"guide_nn1";"dog"
"210";"has_vhz";"dog"
"110";"guide_nn1";"dog"
"18";"siamese_jj";"cat"
"51";"ginger_jj";"cat"
"93";"guide_nn1";"dog"
"16";"tom_nn1";"cat"
"132";"guide_vv0";"dog"
"44";"ginger_jj";"cat"
"5";"tom_np1";"cat"
"145";"mad_jj";"dog"
"182";"mad_jj";"dog"
"90";"guide_nn1";"dog"
"222";"lap_nn1";"dog"
"245";"dangerous_jj";"dog"
"147";"mad_jj";"dog"
"237";"dangerous_jj";"dog"
"213";"has_vhz";"dog"
"247";"dangerous_jj";"dog"
"139";"mad_jj";"dog"
"7";"tom_np1";"cat"
"241";"dangerous_jj";"dog"
"40";"tortoiseshell_nn1";"cat"
"20";"siamese_jj";"cat"
"10";"tom_nn1";"cat"
"31";"siamese_jj";"cat"
"66";"because_cs";"cat"
"86";"guide_nn1";"dog"
"3";"tom_np1";"cat"
"230";"lap_nn1";"dog"
"23";"siamese_jj";"cat"
"214";"has_vhz";"dog"
"67";"contented_jj";"cat"
"199";"barking_np1";"dog"
"205";"has_vhz";"dog"
"81";"guide_nn1";"dog"
"106";"guide_nn1";"dog"
"29";"siamese_jj";"cat"
"50";"ginger_jj";"cat"
"150";"mad_jj";"dog"
"137";"guide_vv0";"dog"
"146";"mad_jj";"dog"
"194";"barking_jj";"dog"
"65";"because_cs";"cat"
"166";"mad_jj";"dog"
"95";"guide_nn1";"dog"
"57";"purring_vvg";"cat"
"117";"guide_nn1";"dog"
"24";"siamese_jj";"cat"
"142";"mad_jj";"dog"
"104";"guide_nn1";"dog"
"227";"lap_nn1";"dog"
"225";"lap_nn1";"dog"
"216";"has_vhz";"dog"
"64";"because_cs";"cat"
"231";"lap_nn1";"dog"
"53";"purring_jj";"cat"
"185";"mad_jj";"dog"
"183";"mad_jj";"dog"
"17";"tom_nn1";"cat"
"156";"mad_jj";"dog"
"38";"tortoiseshell_nn1";"cat"
"155";"mad_jj";"dog"
"179";"mad_jj";"dog"
"12";"tom_nn1";"cat"
"82";"guide_nn1";"dog"
"200";"has_vhz";"dog"
"80";"guide_nn1";"dog"
"141";"mad_jj";"dog"
"217";"has_vhz";"dog"
"163";"mad_jj";"dog"
"61";"playing_vvg";"cat"
"94";"guide_nn1";"dog"
"54";"purring_jj";"cat"
"149";"mad_jj";"dog"
"118";"guide_nn1";"dog"
"89";"guide_nn1";"dog"
"209";"has_vhz";"dog"
