"";"coll";"coll_tag";"animal";"coll_tag_simple"
"1";"contented";"jj";"cat";"adjective"
"2";"guide";"nn1";"dog";"noun"
"3";"guide";"nn1";"dog";"noun"
"4";"guide";"nn1";"dog";"noun"
"5";"mad";"jj";"dog";"adjective"
"6";"mad";"jj";"dog";"adjective"
"7";"dangerous";"jj";"dog";"adjective"
"8";"mad";"jj";"dog";"adjective"
"9";"tom";"nn1";"cat";"noun"
"10";"mad";"jj";"dog";"adjective"
"11";"dangerous";"jj";"dog";"adjective"
"12";"mad";"jj";"dog";"adjective"
"13";"guide";"nn1";"dog";"noun"
"14";"has";"vhz";"dog";"verb"
"15";"mad";"jj";"dog";"adjective"
"16";"guide";"nn1";"dog";"noun"
"17";"has";"vhz";"dog";"verb"
"18";"siamese";"jj";"cat";"adjective"
"19";"guide";"nn1";"dog";"noun"
"20";"guide";"nn1";"dog";"noun"
"21";"guide";"nn1";"dog";"noun"
"22";"guide";"nn1";"dog";"noun"
"23";"siamese";"jj";"cat";"adjective"
"24";"tom";"np1";"cat";"noun"
"25";"tom";"nn1";"cat";"noun"
"26";"siamese";"jj";"cat";"adjective"
"27";"siamese";"jj";"cat";"adjective"
"28";"dangerous";"jj";"dog";"adjective"
"29";"mad";"jj";"dog";"adjective"
"30";"mad";"jj";"dog";"adjective"
"31";"dangerous";"jj";"dog";"adjective"
"32";"siamese";"jj";"cat";"adjective"
"33";"has";"vhz";"dog";"verb"
"34";"mad";"jj";"dog";"adjective"
"35";"tortoiseshell";"nn1";"cat";"noun"
"36";"barking";"jj";"dog";"adjective"
"37";"siamese";"jj";"cat";"adjective"
"38";"guide";"nn1";"dog";"noun"
"39";"barking";"jj";"dog";"adjective"
"40";"mad";"jj";"dog";"adjective"
"41";"tortoiseshell";"nn1";"cat";"noun"
"42";"tom";"np1";"cat";"noun"
"43";"mad";"jj";"dog";"adjective"
"44";"lap";"nn1";"dog";"noun"
"45";"mad";"jj";"dog";"adjective"
"46";"has";"vhz";"dog";"verb"
"47";"dangerous";"jj";"dog";"adjective"
"48";"dangerous";"jj";"dog";"adjective"
"49";"guide";"nn1";"dog";"noun"
"50";"lap";"nn1";"dog";"noun"
"51";"mad";"jj";"dog";"adjective"
"52";"tom";"np1";"cat";"noun"
"53";"dangerous";"jj";"dog";"adjective"
"54";"dangerous";"jj";"dog";"adjective"
"55";"mad";"jj";"dog";"adjective"
"56";"mad";"jj";"dog";"adjective"
"57";"lap";"nn1";"dog";"noun"
"58";"dangerous";"jj";"dog";"adjective"
"59";"mad";"jj";"dog";"adjective"
"60";"guide";"nn1";"dog";"noun"
"61";"mad";"jj";"dog";"adjective"
"62";"guide";"vv0";"dog";"verb"
"63";"mad";"jj";"dog";"adjective"
"64";"mad";"jj";"dog";"adjective"
"65";"guide";"nn1";"dog";"noun"
"66";"lap";"nn1";"dog";"noun"
"67";"dangerous";"jj";"dog";"adjective"
"68";"has";"vhz";"dog";"verb"
"69";"mad";"jj";"dog";"adjective"
"70";"contented";"jj";"cat";"adjective"
"71";"ginger";"jj";"cat";"adjective"
"72";"dangerous";"jj";"dog";"adjective"
"73";"guide";"nn1";"dog";"noun"
"74";"purring";"jj";"cat";"adjective"
"75";"mad";"jj";"dog";"adjective"
"76";"tom";"np1";"cat";"noun"
"77";"tom";"np1";"cat";"noun"
"78";"because";"cs";"cat";NA
"79";"guide";"nn1";"dog";"noun"
"80";"guide";"nn1";"dog";"noun"
"81";"guide";"nn1";"dog";"noun"
"82";"ginger";"jj";"cat";"adjective"
"83";"guide";"nn1";"dog";"noun"
"84";"ginger";"jj";"cat";"adjective"
"85";"mad";"jj";"dog";"adjective"
"86";"mad";"jj";"dog";"adjective"
"87";"guide";"nn1";"dog";"noun"
"88";"has";"vhz";"dog";"verb"
"89";"purring";"jj";"cat";"adjective"
"90";"has";"vhz";"dog";"verb"
"91";"tom";"nn1";"cat";"noun"
